weather,atemp,count,datetime_year,datetime_hour,is_weekend,temp_poly_1,temp_poly_2,humidity_poly_1,humidity_poly_2,windspeed_poly_1,windspeed_poly_2,season_Spring,season_Summer,season_Fall,holiday_X1,workingday_X1,datetime_dow_Mon,datetime_dow_Tue,datetime_dow_Wed,datetime_dow_Thu,datetime_dow_Fri,datetime_dow_Sat,datetime_month_Feb,datetime_month_Mar,datetime_month_Apr,datetime_month_May,datetime_month_Jun,datetime_month_Jul,datetime_month_Aug,datetime_month_Sep,datetime_month_Oct,datetime_month_Nov,datetime_month_Dec
1,14.395,2.83321334405622,2011,0,1,-0.0127823641683446,0.00720883554224558,0.00951937102485731,0.000623393394094128,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,13.635,3.71357206670431,2011,1,1,-0.013791090953198,0.00989698561060822,0.00902132770781691,-0.000283150517329438,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,13.635,3.49650756146648,2011,2,1,-0.013791090953198,0.00989698561060822,0.00902132770781691,-0.000283150517329438,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,14.395,2.63905732961526,2011,3,1,-0.0127823641683446,0.00720883554224558,0.00653111112261489,-0.00411652558966169,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,14.395,0.693147180559945,2011,4,1,-0.0127823641683446,0.00720883554224558,0.00653111112261489,-0.00411652558966169,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,12.88,0.693147180559945,2011,5,1,-0.0127823641683446,0.00720883554224558,0.00653111112261489,-0.00411652558966169,-0.00797847818289199,0.00116092874274697,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,13.635,1.09861228866811,2011,6,1,-0.013791090953198,0.00989698561060822,0.00902132770781691,-0.000283150517329438,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,12.88,1.38629436111989,2011,7,1,-0.0147998177380513,0.0127889484359002,0.0120095876100593,0.00585545743599753,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,14.395,2.19722457733622,2011,8,1,-0.0127823641683446,0.00720883554224558,0.00653111112261489,-0.00411652558966169,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,17.425,2.70805020110221,2011,9,1,-0.00874745702893108,-0.00150563716191187,0.0070291544396553,-0.00344309650649998,-0.0150260095382433,0.0151026795316004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
